Name,Region,Country,City,Fest START Date,Fest END Date,Festival Lengh,Website,Entry Categories,Specialization,A-list,Deadline Regular,Deadline Extended,Free Submission,Link submission,Platform for submission,Notes about submission,Status,Last update
ACAMPADOC Festival Internacional de Cine Documental,Central and South America,Panamá,La Villa de Los Santos,16/8/2025,26/8/2025,11 days,https://www.acampadoc.com/,"Creative/Experimental,Feature Documentary,Short Documentary,VR/AR","Animation,Children and young audiences",,15/3/2025,15/4/2025,,https://filmfreeway.com/ACAMPADOC,FilmFreeway,"
",Active,5/6/2025
Active Vista Human Rights Festival,Asia Pacific,Philipphines,Quezon City,19/9/2024,6/10/2024,,https://avhumanrightsfestival.ph/,Short Documentary,Human Rights,,,,,,,"No info about 2025 edition
No info about submissions",Inactive,5/6/2025
Addis International Film Festival,Africa,Ethiopia ,Addis Ababa,21/5/2025,25/5/2025,4 days,https://addisfilmfestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary",Human Rights,,31/3/2025,31/3/2025,checked,https://filmmakers.festhome.com/f/1733,Festhome,"Facebook/ Instagram is up-to-date. 
Shorts are under 30 minutes; mid-length films + features run 50 to 120 minutes. ",Active,4/10/2025
Adelaide Film Festival,Asia Pacific,Australia ,Adelaide,15/10/2025,26/10/2025,11 days,https://adelaidefilmfestival.org,"Short Documentary,Mid-length Documentary,Feature Documentary,Series",,,19/5/2025,26/5/2025,,https://filmfreeway.com/AdlFilmFest,FilmFreeway,Shorts must be under 40 minutes in duration. ,Active,4/10/2025
Adriatic Film Festival,Europe,Italy,Francavilla al Mare,3/6/2025,8/6/2025,5 days,https://adriaticfilmfestival.it,"Short Documentary,Student Documentary,Feature Documentary",,,28/2/2025,11/4/2025,,https://filmfreeway.com/AdriaticFilmFestival-1,FilmFreeway,Shorts must be under 40 minutes in duration.,Active,4/10/2025
Aesthetica Short Film Festival,Europe,United Kingdom,York ,5/11/2025,9/11/2025,4 days,https://www.asff.co.uk,"Short Documentary,VR/AR,Feature Documentary,Creative/Experimental",,,31/5/2025,8/6/2025,,https://filmfreeway.com/asffestival,FilmFreeway,Films 30 minutes and under are considered as shorts and films over 35 minutes will be considered as documentary feature.  ,Active,4/10/2025
AFI Fest,North America,USA,"Los Angeles, CA",22/10/2025,26/10/2025,4 days,https://fest.afi.com,"Short Documentary,Mid-length Documentary",,checked,12/4/2025,31/5/2025,,http://filmfreeway.com/AFIFEST,FilmFreeway,"Shorts are 40 minutes or less. Features are 41 minutes or longer.
Feature length films invited to screen at AFI FEST will be curated by our programming team.",Active,4/10/2025
Ajyal Film Festival,Middle East and North Africa,Qatar,Doha,20/11/2025,28/11/2025,8 days,https://www.dohafilminstitute.com/filmfestival,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Children and young audiences,,1/9/2025,1/9/2025,checked,https://www.dohafilminstitute.com/filmfestival/submit-a-film,,,Active,4/10/2025
Alcances Festival Cine Documental,Europe,Spain,Càdiz,26/9/2025,3/10/2025,8 days,http://www.alcances.org/,"Short Documentary,Feature Documentary",Spanish (co-)production,,13/6/2025,,checked,https://filmmakers.festhome.com/f/alcances,Festhome,"Only for Spanish Documentaries
Shorts under 45 min
Features ver 45 min",Active,5/6/2025
Ambulante,North America,Mexico,"Mexico City, Baja California, Veracruz, Querétaro, Yucatan",3/4/2025,12/6/2025,71 days,https://www.ambulante.org,"Short Documentary,Feature Documentary,Mid-length Documentary",,,,,,,,"By invitation only.
Running screenings in different cities.",Active,4/10/2025
